Unnamed: 0,Timestamp,Student Id,Paid Course? (Y/N),Course Fee Email,Date Sent,Payment Receipt Sent,How And Where Did You Hear About This Course ,Country,City,Gender,Age,Are You Currently Attending University   College ,Latest Degree Completed Or In Progress ,University Attended,Discipline Of Degree ,Have You Taken Any Foundational Course In Data Science   Econometrics   Statistics   Computer Science ,What Programming Language S  Are You Most Comfortable In  R  Python  Java  Js  Etc    If None Please Type  None   ,Prior Work Experience In Data Science Or Machine Learning,Primary Reason For Taking This Course ,Do You Understand That This Is A Paid Course,Prior Formal Education In R,Prior Formal Education In Python,Prior Work Experience In R ,Prior Work Experience In Python ,Personal Education/Knowledge In R,Personal Education/Knowledge In Python,Linkedin?,Do You Have Any Feedback  Thoughts  Or Comments You Would Like To Share ,Date,Time,Qr_Uni_Col,Uni_Col,Payment
11,2022-08-22 05:39:00,11,No,Sent,8/24/2022,not yet,DataCamp group,Pakistan,Karachi,Male,19,Yes,Bachelors,Sindh Madrresatul Islam University,BS Artificial Intelligence,None of them,Python,Learner (1 Year or Less),I am currently doing BS AI and this course will help me alot to polish my skills and be more efficient to my vision,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Intermediate (2-3 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 05:39:26,Sindh Madrresatul Islam University,SMIU,0
12,2022-08-22 05:41:00,12,No,Sent,8/24/2022,not yet,University friends,Pakistan,Karachi,Female,20,Yes,Bachelors,Sindh Madressatul Islam University,Bs in Artificial Intelligence (BSAI),Data Science,Python,Learner (1 Year or Less),I wnat this internship to enhance my experience and skills,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),TRUE,No,2022-08-22 00:00:00,2022-10-21 05:41:53,Sindh Madressatul Islam University,SMIU,0
13,2022-08-22 05:43:00,13,Yes,Sent,8/26/2022,not yet,In a datacamp group,Pakistan,Karachi,Male,19,Yes,H.S.C,Sindh Muslim Government Science College,BS Artificial intelligence,Computer Science,Python,Intermediate (2-3 Years),To become professional in this course,Yes,Learner (1 Year or Less),Intermediate (2-3 Years),Some (1 Year or Less),Intermediate (2-3 Years),Beginner (0 Years),Learner (1 Year or Less),TRUE,No,2022-08-22 00:00:00,2022-10-21 05:43:23,Sindh Muslim Government Science College,SMIU,0
14,2022-08-22 05:59:00,14,Yes,Sent,8/23/2022,not yet,Social media,Pakistan,Karachi,Male,20,Yes,H.S.C,Smiu,BS SE,Data Science,Python,Learner (1 Year or Less),Tos learn Data Science,Yes,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),None (0 Years),Beginner (0 Years),Intermediate (2-3 Years),TRUE,Nil,2022-08-22 00:00:00,2022-10-21 05:59:06,Smiu,Smiu,0
15,2022-08-22 06:36:00,15,Yes,Sent,8/24/2022,not yet,IBA Group on Facebook,Pakistan,Karachi,Male,28,No,Masters,KU Leuven,MSc Business Engineering (Majors:Data science and Business Analytics),All of them,Python,Learner (1 Year or Less),Develop my skillset,Yes,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),TRUE,None,2022-08-22 00:00:00,2022-10-21 06:36:02,KU Leuven,KU Leuven,0
16,2022-08-22 06:36:00,16,Yes,Sent,8/24/2022,not yet,There is Facebook of IBA and LUMS students where I get to know about this course,Pakistan,Lahore,Male,21,No,Bachelors,LUMS,B.Sc(Honors) Economics,Econometrics,R and Python,Beginner (0 Years),I want to enter in the field of Data Science and in future I want to do Master in Data Science. I want to build my basics and to gain some work experience in this field.,Yes,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 06:36:38,LUMS,LUMS,1
17,2022-08-22 06:37:00,17,No,Sent,8/24/2022,not yet,Friend,Pakistan,Islamabad,Male,26,No,Bachelors,"COMSATS University, Islamabad",Electrical Engineering,Data Science,Python,Learner (1 Year or Less),To enhance Data science application in business,No,Learner (1 Year or Less),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),Non,None,2022-08-22 00:00:00,2022-10-21 06:37:18,"COMSATS University, Islamabad","COMSATS University, Islamabad",1
18,2022-08-22 06:40:00,18,No,Sent,8/24/2022,not yet,Facebook,Pakistan,Karachi,Male,22,Yes,Bachelors,Iba Karachi,Marketing analytics,Statisitics,R,Learner (1 Year or Less),To pursue my goal to become a marketing analyst and  and business analyst.,No,Learner (1 Year or Less),Beginner (0 Years),Some (1 Year or Less),None (0 Years),Learner (1 Year or Less),Beginner (0 Years),TRUE,It would be a great opportunity for me to do this internship and learn the core analytical skills. Looking forward to hear from you.,2022-08-22 00:00:00,2022-10-21 06:40:24,Iba Karachi,IBA,0
19,2022-08-22 06:41:00,19,No,Sent,8/24/2022,not yet,On Facebook group,Pakistan,Karachi,Male,21,Yes,Bachelors,Institute of Business Administration,Computer Science,Statisitics,Java,Beginner (0 Years),To make a career in the field of Data Science,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),TRUE,None,2022-08-22 00:00:00,2022-10-21 06:41:46,Institute of Business Administration,IBA,0
20,2022-08-22 06:44:00,20,Yes,Sent,8/25/2022,not yet,Facebook,Pakistan,Karachi,Male,22,Yes,Bachelors,"IBA, Karachi",Economics and mathematics,Data Science,R and SQL,Beginner (0 Years),To involve in data science role,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),None,None,2022-08-22 00:00:00,2022-10-21 06:44:09,"IBA, Karachi",IBA,0
21,2022-08-22 06:53:00,21,No,Sent,8/24/2022,not yet,Facebook,Pakistan,Karachi,Male,27,No,Bachelors,Bachelors in Engineering,Software,Computer Science,JS,Beginner (0 Years),Pursue career in data science,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 06:53:25,Bachelors in Engineering,Bachelors in Engineering,0
22,2022-08-22 06:54:00,22,Yes,Sent,8/25/2022,not yet,Facebook,Pakistan,Karachi,Female,23,No,Bachelors,Institute of Business Administration (IBA),Accounting and Finance,Econometrics,None,Beginner (0 Years),Career Growth and opportunities,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 06:54:14,Institute of Business Administration (IBA),IBA,0
23,2022-08-22 06:54:00,23,Yes,Sent,8/25/2022,not yet,I heard it on the group of IBA and LUMS,Pakistan,Karachi,Male,19,Yes,Bachelors,IBA,BBA,Data Science,None,Beginner (0 Years),"I have learnt about Data Analytics, but not Data Science. Hence, I want to improve this field to explore more about data.",Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 06:54:33,IBA,IBA,0
24,2022-08-22 06:55:00,24,Yes,Sent,8/25/2022,not yet,The group of iba and lums,Pakistan,Karachi,Male,20,Yes,Bachelors,IBA,BSCS,None of them,None,Beginner (0 Years),To learn more about data science,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),None,None,2022-08-22 00:00:00,2022-10-21 06:55:22,IBA,IBA,0
25,2022-08-22 06:56:00,25,Yes,Sent,8/25/2022,not yet,Facebook page,Pakistan,Karachi,Female,22,No,H.S.C,Foundation public school - bahria university for short course after,Process,None of them,I havenât done this before but I want to learn this skill.,Beginner (0 Years),To learn new skill and improvise,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),None,I just hope to learn this in the best ways possible and grow further in this respective field.,2022-08-22 00:00:00,2022-10-21 06:56:13,Foundation public school - bahria university for short course after,Foundation public school - bahria university for short course after,0
26,2022-08-22 07:07:00,26,No,Sent,8/24/2022,not yet,Whatsapp group,Pakistan,Karachi,Male,25,Yes,Bachelors,NED University of Engineering and Technology Karachi,Bachelor in Software Engineering,Data Science,Pyhton,Beginner (0 Years),Promoting our future goal in data science field,No,Beginner (0 Years),Advanced (4+),None (0 Years),Advanced (4+),Beginner (0 Years),Advanced (4+),TRUE,This is a great opportunity to polish skills in data science field,2022-08-22 00:00:00,2022-10-21 07:07:50,NED University of Engineering and Technology Karachi,NED,0
27,2022-08-22 07:15:00,27,No,Sent,8/24/2022,not yet,Friends,Pakistan,Karachi,Male,23,Yes,H.S.C,Sindh madressatul Islam university,Bachelor's in computer science,None of them,Python,Beginner (0 Years),I am passionate about data and data science thats why i want to take a part in this program,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),TRUE,A good initiative,2022-08-22 00:00:00,2022-10-21 07:15:08,Sindh madressatul Islam university,SMIU,0
28,2022-08-22 07:15:00,28,No,Sent,8/24/2022,not yet,Facebook,Pakistan,Lahore,Male,20,Yes,Bachelors,Lums,Electrical engineering,Computer Science,"Python, C++,  MATLAB,  JS,",Beginner (0 Years),Improve skillset,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),TRUE,None,2022-08-22 00:00:00,2022-10-21 07:15:45,Lums,Lums,0
29,2022-08-22 07:18:00,29,Yes,Sent,8/25/2022,not yet,FB,Pakistan,Karachi,Male,25,No,Bachelors,LGU,Economics,None of them,SQL,Beginner (0 Years),Learning,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,Please let me know if there are any discounts available; course seems value-packed but a bit over my budget at this point in time. Great initiative though! :),2022-08-22 00:00:00,2022-10-21 07:18:49,LGU,LGU,0
30,2022-08-22 07:19:00,30,Yes,Sent,8/25/2022,not yet,Facebook,Pakistan,Karachi,Female,27,No,Bachelors,INSTITUTE OF BUSINESS ADMINISTRATION KARACHI,BS SOCIAL SCIENCES & LIBERAL ARTS,Statisitics,NONE,Beginner (0 Years),Switching my career to data analytics,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 07:19:55,INSTITUTE OF BUSINESS ADMINISTRATION KARACHI,IBA,0
31,2022-08-22 07:26:00,31,No,Sent,8/24/2022,not yet,Peopel of LUMS and IBA group,Pakistan,Karachi,Male,24,No,Bachelors,IBA Karachi,BS Economics,Statisitics,None,Beginner (0 Years),Learning and getting skill,No,Beginner (0 Years),Beginner (0 Years),Some (1 Year or Less),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 07:26:08,IBA Karachi,IBA,0
32,2022-08-22 07:34:00,32,Yes,Sent,8/25/2022,not yet,Social media,Pakistan,Karachi,Male,23,No,Bachelors,IBA,Bs Economics,Econometrics,Python,Beginner (0 Years),Learn Data Science,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),TRUE,None,2022-08-22 00:00:00,2022-10-21 07:34:45,IBA,IBA,0
33,2022-08-22 07:38:00,33,Yes,Sent,8/25/2022,not yet,"A group called ""People of IBA and LUMS""",Pakistan,Lahore,Male,22,Yes,Bachelors,Lahore University of Management Sciences,Accounting and Finance (BSc. Honours),Computer Science,"Python, C++, VB",Beginner (0 Years),"I want to expand my skill base, branch out from the usual Accounting and Finance stuff",Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),TRUE,"Not really, but would appreciate if the course fee could be lowered as coupled with the university expenses, students who are paying for this out of their own pocket might be discouraged to take up this course.",2022-08-22 00:00:00,2022-10-21 07:38:43,Lahore University of Management Sciences,IOBM,0
34,2022-08-22 07:48:00,34,Yes,Sent,8/25/2022,Yes,Whatsapp link,Pakistan,Karachi,Male,19,Yes,Bachelors,Institute of Business Administration (IBA),Accounting and FInance,All of them,Python,Beginner (0 Years),"need to blend my finance knowledge with data science, trying to become a financial data scientist",Yes,Learner (1 Year or Less),Intermediate (2-3 Years),None (0 Years),None (0 Years),Beginner (0 Years),Advanced (4+),TRUE,None,2022-08-22 00:00:00,2022-10-21 07:48:58,Institute of Business Administration (IBA),IBA,1
35,2022-08-22 07:54:00,35,Yes,Sent,8/25/2022,not yet,Face Book,Pakistan,Karachi,Male,23,No,Bachelors,IBA,Accounting amd Finance,Statisitics,None,Beginner (0 Years),Want to pursue furthur education in Data science,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,I hope that this course entails to beginners as well as I am from a different discipline,2022-08-22 00:00:00,2022-10-21 07:54:41,IBA,IBA,0
36,2022-08-24 19:04:00,36,Yes,Sent,8/26/2022,Yes,From LinkedIn and also from my friend,Pakistan,Islamabad,Female,23,Yes,Bachelors,Quaid I azam university,Statistics,None of them,Only in R,Beginner (0 Years),To enhance my skills or to learn,Yes,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Learner (1 Year or Less),Beginner (0 Years),TRUE,I want to do this course and it's content is awesome,2022-08-24 00:00:00,2022-10-21 19:04:28,Quaid I azam university,QU,1
37,2022-08-22 08:01:00,37,No,Sent,8/24/2022,not yet,From social media,Pakistan,Karachi,Male,22,Yes,Bachelors,Sindh Madressatul Islam University,Computer Science,All of them,Python,Learner (1 Year or Less),The primary motive for taking this course is to learn with friendly environment and work on open source project to gain experience,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Intermediate (2-3 Years),TRUE,It's a request that please charge fees of course which is affordable for everyone because in this situation we are not having any job so please address this issue also,2022-08-22 00:00:00,2022-10-21 08:01:49,Sindh Madressatul Islam University,SMIU,0
38,2022-08-22 08:04:00,38,No,Sent,8/24/2022,not yet,Friend,Pakistan,Lahore,Male,25,No,Bachelors,PUCIT,Computer Science,Computer Science,Python,Intermediate (2-3 Years),Increase my skill level,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 08:04:58,PUCIT,PUCIT,0
39,2022-08-22 08:33:00,39,Yes,Sent,8/25/2022,not yet,Facebook,Pakistan,Lahore,Male,21,Yes,Bachelors,Lahore University of Management Sciences,Economics and Mathematics,All of them,Python and R,Beginner (0 Years),Industrial Exposure,Yes,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),None,None,2022-08-22 00:00:00,2022-10-21 08:33:09,Lahore University of Management Sciences,IOBM,0
40,2022-08-22 08:40:00,40,Yes,Sent,8/25/2022,not yet,Facebook,Pakistan,Karachi,Female,21,Yes,Bachelors,Institute of business administration,Economics,Statisitics,Python,Beginner (0 Years),Polishing my skills,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 08:40:24,Institute of business administration,IBA,0
41,2022-08-22 08:40:00,41,Yes,Sent,8/25/2022,not yet,Facebook,Pakistan,Karachi,Male,26,No,Bachelors,Bahria University Karachi campus,Electronics Engineering,Data Science,"R,Python",Learner (1 Year or Less),Opportunity to start career in Data science,Yes,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Learner (1 Year or Less),Learner (1 Year or Less),TRUE,none,2022-08-22 00:00:00,2022-10-21 08:40:57,Bahria University Karachi campus,KU,0
42,2022-08-22 08:41:00,42,No,Sent,8/24/2022,not yet,Job group on What's app,Pakistan,Karachi,Male,24,No,Bachelors,Iqra University,BS in Software Engineering,Computer Science,Python,Beginner (0 Years),Want to change my field,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),TRUE,No,2022-08-22 00:00:00,2022-10-21 08:41:00,Iqra University,IQRA,0
43,2022-08-22 08:41:00,43,No,Sent,8/24/2022,not yet,Through a Whatsapp group,Pakistan,Karachi,Male,26,No,Bachelors,Iqra University,Bachelor in Computer Science,Computer Science,Java,Beginner (0 Years),I'm a Project Head at Tech Hunt. And in future we have so many projects related to Data Science and Data Analytics in that case I have to know about these.,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),TRUE,Not now,2022-08-22 00:00:00,2022-10-21 08:41:37,Iqra University,IQRA,0
44,2022-08-22 08:42:00,44,No,Sent,8/24/2022,not yet,Referral,Pakistan,Karachi,Female,21,Yes,H.S.C,Aga Khan Higher Secondary,BS(Computer Science),Data Science,"Python,JS",Learner (1 Year or Less),To seek understanding of industry practices,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),TRUE,None,2022-08-22 00:00:00,2022-10-21 08:42:52,Aga Khan Higher Secondary,Aga Khan Higher Secondary,0
45,2022-08-22 08:46:00,45,No,Sent,8/24/2022,not yet,On Facebook,Pakistan,Karachi,Male,21,Yes,Bachelors,Iqra university,Bs,Computer Science,Java,Intermediate (2-3 Years),For increase my skills,No,Intermediate (2-3 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),TRUE,No,2022-08-22 00:00:00,2022-10-21 08:46:48,Iqra university,IQRA,0
46,2022-08-22 08:47:00,46,No,Sent,8/24/2022,not yet,From a friend,Pakistan,Karachi,Male,26,No,Bachelors,Iqra University,Bachelor's in Computer Science,All of them,"Python, Java.",Learner (1 Year or Less),To have a career in machine learing field.,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),TRUE,None,2022-08-22 00:00:00,2022-10-21 08:47:13,Iqra University,IQRA,0
47,2022-08-22 08:47:00,47,No,Sent,8/24/2022,not yet,From WhatsApp group,Pakistan,Karachi,Male,28,No,Bachelors,University Of Karachi,Software Engineering,Computer Science,None,Beginner (0 Years),Personal Interest toward Data Engineering,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 08:47:44,University Of Karachi,KU,0
48,2022-08-22 08:47:00,48,Yes,Sent,8/25/2022,not yet,Teacher/instructor,Pakistan,Karachi,Male,24,No,Bachelors,Iqra university,BS-CS,Computer Science,None,Beginner (0 Years),"I want to know about data science, and want to start my career in data science, data analytics",Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 08:47:52,Iqra university,IQRA,0
49,2022-08-22 08:48:00,49,Yes,Sent,8/25/2022,not yet,I heard about this course through a whatsapp group,Pakistan,Karachi,Female,23,Yes,Bachelors,Szabist karachi,BsCs,Computer Science,Java and javascript,Beginner (0 Years),I want to learn new innovative things,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 08:48:02,Szabist karachi,SZABIST,0
50,2022-08-22 08:51:00,50,No,Sent,8/24/2022,not yet,Through a friend,Pakistan,Karachi,Male,23,No,Bachelors,Iqra university,BSSE,Data Science,"Python, java",Beginner (0 Years),To enhance my career in the domain of data science,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 08:51:47,Iqra university,IQRA,0
51,2022-08-22 08:53:00,51,Yes,Sent,8/25/2022,not yet,My friend tell me about this course,Pakistan,Karachi,Male,18,Yes,H.S.C,Goverment degree science college malir,Yes,Computer Science,"Java , JS , python",Beginner (0 Years),To increase my skills,Yes,Beginner (0 Years),Beginner (0 Years),Some (1 Year or Less),None (0 Years),Learner (1 Year or Less),Intermediate (2-3 Years),None,None,2022-08-22 00:00:00,2022-10-21 08:53:12,Goverment degree science college malir,Goverment degree science college malir,0
52,2022-08-22 08:55:00,52,No,Sent,8/24/2022,not yet,From friend,Pakistan,Karachi,Male,29,Yes,Masters,Institute of Business Management,MS Statistics and Scientific Computing,All of them,"R, Python",Learner (1 Year or Less),Want to Excel in the field of data science,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),None (0 Years),Learner (1 Year or Less),Learner (1 Year or Less),None,No,2022-08-22 00:00:00,2022-10-21 08:55:39,Institute of Business Management,IOBM,0
53,2022-08-22 09:00:00,53,No,Sent,8/27/2022,not yet,facebook,Pakistan,Karachi,Male,24,Yes,Masters,institute of business administration,Masers Data Science,None of them,None,Beginner (0 Years),Learning about Data Science,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),none,none,2022-08-22 00:00:00,2022-10-21 09:00:35,institute of business administration,IBA,0
